Function,Algorithm 1,Algorithm 2,p-value,Significant (p < 0.05)
F32020,DA,FOA,0.0,Yes
F32020,BOA,FOA,0.00996,Yes
F42020,WOA_SA,GA,0.0,Yes
F42020,WOA_SA,PSO,0.0,Yes
F42020,WOA_SA,GWO,0.0,Yes
F42020,WOA_SA,DA,0.46647,No
F42020,WOA_SA,BOA,3e-05,Yes
F42020,WOA_SA,FOA,0.26534,No
F42020,GA,PSO,0.0,Yes
F42020,GA,GWO,0.0,Yes
F42020,GA,DA,0.0,Yes
F42020,GA,BOA,0.0,Yes
F42020,GA,FOA,0.0,Yes
F42020,PSO,GWO,0.0,Yes
F42020,PSO,DA,0.0,Yes
F42020,PSO,BOA,0.0,Yes
F42020,PSO,FOA,0.0,Yes
F42020,GWO,DA,0.0,Yes
F42020,GWO,BOA,0.0,Yes
F42020,GWO,FOA,0.0,Yes
F42020,DA,BOA,0.00253,Yes
F42020,DA,FOA,0.58521,No
F42020,BOA,FOA,0.00027,Yes
F52020,WOA_SA,GA,0.00016,Yes
F52020,WOA_SA,PSO,0.0,Yes
F52020,WOA_SA,GWO,0.0,Yes
F52020,WOA_SA,DA,0.0,Yes
F52020,WOA_SA,BOA,0.0,Yes
F52020,WOA_SA,FOA,0.27799,No
F52020,GA,PSO,0.0,Yes
F52020,GA,GWO,0.0,Yes
F52020,GA,DA,0.0,Yes
F52020,GA,BOA,0.0,Yes
F52020,GA,FOA,0.0,Yes
F52020,PSO,GWO,0.0,Yes
F52020,PSO,DA,0.0,Yes
F52020,PSO,BOA,0.0,Yes
F52020,PSO,FOA,0.0,Yes
F52020,GWO,DA,0.08579,No
F52020,GWO,BOA,9e-05,Yes
F52020,GWO,FOA,0.0,Yes
F52020,DA,BOA,0.0,Yes
F52020,DA,FOA,0.0,Yes
F52020,BOA,FOA,0.0,Yes
F62020,WOA_SA,GA,0.0,Yes
F62020,WOA_SA,PSO,0.0,Yes
F62020,WOA_SA,GWO,0.43757,No
F62020,WOA_SA,DA,0.0,Yes
F62020,WOA_SA,BOA,0.0,Yes
F62020,WOA_SA,FOA,0.26534,No
F62020,GA,PSO,0.0,Yes
F62020,GA,GWO,0.0,Yes
F62020,GA,DA,0.0,Yes
F62020,GA,BOA,0.0,Yes
F62020,GA,FOA,0.00154,Yes
F62020,PSO,GWO,0.0,Yes
F62020,PSO,DA,0.0,Yes
F62020,PSO,BOA,0.0,Yes
F62020,PSO,FOA,0.0,Yes
F62020,GWO,DA,0.0,Yes
F62020,GWO,BOA,0.0,Yes
F62020,GWO,FOA,0.02297,Yes
F62020,DA,BOA,0.00026,Yes
F62020,DA,FOA,0.0,Yes
F62020,BOA,FOA,0.0,Yes
F72020,WOA_SA,GA,0.0,Yes
F72020,WOA_SA,PSO,0.0,Yes
F72020,WOA_SA,GWO,0.01187,Yes
F72020,WOA_SA,DA,0.0,Yes
F72020,WOA_SA,BOA,0.0,Yes
F72020,WOA_SA,FOA,0.79613,No
F72020,GA,PSO,0.0,Yes
F72020,GA,GWO,0.0,Yes
F72020,GA,DA,0.0,Yes
F72020,GA,BOA,0.0,Yes
F72020,GA,FOA,0.0,Yes
F72020,PSO,GWO,0.0,Yes
F72020,PSO,DA,0.0,Yes
F72020,PSO,BOA,0.0,Yes
F72020,PSO,FOA,0.0,Yes
F72020,GWO,DA,0.0,Yes
F72020,GWO,BOA,0.0,Yes
F72020,GWO,FOA,0.18445,No
F72020,DA,BOA,0.0,Yes
F72020,DA,FOA,0.0,Yes
F72020,BOA,FOA,0.0,Yes
F82020,WOA_SA,GA,0.0,Yes
F82020,WOA_SA,PSO,0.0,Yes
F82020,WOA_SA,GWO,0.50863,No
F82020,WOA_SA,DA,1e-05,Yes
F82020,WOA_SA,BOA,0.0,Yes
F82020,WOA_SA,FOA,0.52103,No
F82020,GA,PSO,0.20448,No
F82020,GA,GWO,0.0,Yes
F82020,GA,DA,0.0,Yes
F82020,GA,BOA,0.0,Yes
F82020,GA,FOA,0.0,Yes
F82020,PSO,GWO,0.0,Yes
F82020,PSO,DA,0.0,Yes
F82020,PSO,BOA,0.0,Yes
F82020,PSO,FOA,0.0,Yes
F82020,GWO,DA,0.0,Yes
F82020,GWO,BOA,0.0,Yes
F82020,GWO,FOA,0.22231,No
F82020,DA,BOA,0.00244,Yes
F82020,DA,FOA,6e-05,Yes
F82020,BOA,FOA,0.0,Yes
F92020,WOA_SA,GA,0.0,Yes
F92020,WOA_SA,PSO,0.0,Yes
F92020,WOA_SA,GWO,8e-05,Yes
F92020,WOA_SA,DA,0.03205,Yes
F92020,WOA_SA,BOA,0.43191,No
F92020,WOA_SA,FOA,0.96947,No
F92020,GA,PSO,0.0,Yes
F92020,GA,GWO,0.0,Yes
F92020,GA,DA,0.0,Yes
F92020,GA,BOA,0.0,Yes
F92020,GA,FOA,0.0,Yes
F92020,PSO,GWO,0.0,Yes
F92020,PSO,DA,0.0,Yes
F92020,PSO,BOA,0.0,Yes
F92020,PSO,FOA,0.0,Yes
F92020,GWO,DA,0.0,Yes
F92020,GWO,BOA,0.0,Yes
F92020,GWO,FOA,4e-05,Yes
F92020,DA,BOA,0.00912,Yes
F92020,DA,FOA,0.02826,Yes
F92020,BOA,FOA,0.30905,No
